contract_id,summary,termination_clause,confidentiality_clause,liability_clause
TICKETSCOMINC_06_22_1999-EX-10.22-SPONSORSHIP AGREEMENT,"This Sponsorship Agreement lets Tickets.com become MP3.com’s exclusive source for ticket sales, with MP3.com displaying a small Tickets portal on several music genre pages. MP3.com must deliver at least 3 million portal impressions each month, and Tickets must pay a series of scheduled sponsor fees, with a 1.5% monthly late‑payment charge. Tickets can end the deal with 30‑day notice before the 60‑day mark, and may renew for a second year under limited fee increases. Both parties warrant their sites won’t infringe rights or contain illegal content and must indemnify each other for breaches. Liability is limited: neither side is responsible for special or consequential damages, except for indemnification claims. Risks include missed impression targets, late payments, and potential disputes over impression counts.","This Agreement shall commence on the Effective Date and shall remain in full force and effect until one (1) year subsequent to the Effective Date, provided however, that Tickets may terminate this Agreement for any reason upon thirty (30) days' notice to MP3. com at any time prior to the expiration of sixty (60) days subsequent to the Effective Date. Furthermore, for a thirty (30) day period, beginning thirty (30) days prior to the first anniversary of this Agreement, Tickets shall have the right to renew the Agreement for another year with Sponsor Fees that do not exceed a [***] percent increase over the existing Sponsor Fees. Any payments which have accrued prior to the date of termination shall remain due and payable. Sections 6, 7, and 8 shall survive termination of this agreement.",NOT FOUND,"No Consequential Damages. Except for claims arising under section 6, in no event will either party be liable for any special, indirect, incidental or consequential damages."
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement,"This Intellectual Property Agreement, dated December 31, 2018, governs the transfer and licensing of intellectual property between Arizona (the seller/licensor) and the Company (the buyer/licensee) in connection with a prior Stock Purchase Agreement. Arizona assigns all of its ""Arizona Assigned IP"" to the Company and must cooperate to record and perfect that ownership. In return, each party grants the other a perpetual, royalty‑free, non‑exclusive license to use the other’s licensed copyrights, know‑how, patents and certain trademarks in the opposite party’s field of business. Trademark licenses are limited in time (24 months for Arizona‑licensed marks, 18 months for Diamond marks) and are non‑sublicensable and non‑assignable, with strict quality‑control requirements to protect goodwill. Risks include breaching quality‑control standards, which could damage the reputation of the trademarks and trigger remedial actions, and the limited term of trademark use, which may require renegotiation.",NOT FOUND,NOT FOUND,NOT FOUND
DIVERSINETCORP_03_01_2012-EX-4-RESELLER AGREEMENT,"This Reseller Agreement lets Diversinet grant the Reseller an exclusive right to market and sell Diversinet’s security products in Canada, provided the Reseller meets an annual minimum purchase commitment and follows strict marketing, branding, and reporting rules. Diversinet must deliver the products on time and provide documentation, while the Reseller must obtain customer agreements, pay all invoices within 30 days, and protect Diversinet’s trademarks. The agreement runs for five years and auto‑renews yearly unless either side gives notice. Either party can terminate for non‑payment, material breach, or if the Reseller stops operating, with a 30‑day notice (or 60 days for breach cure). Upon termination, the Reseller must cease using the products, pay any outstanding amounts, destroy all product copies, and certify compliance. Risks include loss of exclusive rights, hefty late‑payment interest, and a mandatory 18‑month phase‑out period.","4. Termination (a) Either Party may terminate this Agreement: (i) Upon thirty (30) days' written notice to Reseller if Reseller fails to make any AMC payment when due under this Agreement, or when an audit, as set out in Section 13, by Diversinet reveals any under-payment for any payment due, and it is not paid within the thirty (30) day written notice period; (ii) providing thirty (60) days' written notice to the other Party if the other Party breaches any material term or condition of this Agreement, and fails to cure such breach within the 60 day period; (iii) upon providing thirty (30) days' written notice to Reseller if Reseller terminates the provisions of the Annual Minimum Commitment and fails to meet the sales targets as set out in Schedule 3. (b) This Agreement shall terminate automatically without notice and without further action by Diversinet in the event that:

(i) Reseller ceases carrying on its business, or if a petition shall be filed, an order shall be made or an effective resolution is passed for the winding-up, dissolution or liquidation of Reseller. (c) Termination under Subsection 4(a) shall trigger a phase-out period during which Reseller may continue to provide products and services to Customers. Such phase-out period shall be the longer of (i) the remaining term of the agreement between the Reseller and its Customers, and (ii) 18 months. (d) Upon the termination of this Agreement for any reason: (1) all rights granted to Reseller hereunder shall automatically come to an end and revert to Diversinet, including without limitation any right to use, operate and provide customer service or support for the Products; (2) Reseller shall immediately pay to Diversinet all amounts due and outstanding hereunder as of the date of such termination or expiration; and (3) within five (5) days of termination of this Agreement, for whatever reason, Reseller, must: (a) destroy all copies of the Products and any associated Products documentation in its possession or under its direct control; and (b) deliver to Diversinet a written certificate warranting that it has complied with the foregoing obligations.",NOT FOUND,NOT FOUND
CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement,"This Strategic Alliance Agreement sets up a partnership between Freedom Mortgage and its new affiliate Cherry Hill. Freedom Mortgage will originate and service mortgage loans, while Cherry Hill will provide capital and eventually operate as a real‑estate investment trust. The parties must execute several ancillary agreements—including an Acknowledgement Agreement with Ginnie Mae, a Purchase Agreement for excess mortgage‑servicing rights, and a Flow Agreement for loan sales—before the closing date. Freedom Mortgage is responsible for obtaining any needed permits, maintaining its financial thresholds, and covering costs related to designating a standby issuer if trigger events occur. Cherry Hill must cooperate with revisions to the Acknowledgement Agreement and will be indemnified against losses if Ginnie Mae terminates Freedom Mortgage’s issuer status. Risks include potential breach of financial covenants, trigger events that could force standby arrangements, and the need to meet regulatory approvals.",NOT FOUND,NOT FOUND,NOT FOUND
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,"This agreement lets Companion Healthcare Technologies (CHT) act as the exclusive reseller of Ehave's software platform for managing companion animal health. Ehave grants CHT a non‑transferable right to license the platform to its own customers (End Users) and their authorized users, but only within the defined field of use and territory. Both parties must follow the detailed definitions, schedules, and security requirements set out in the contract, and the agreement is governed by Ontario law. Key risks include the lack of expressly stated termination, confidentiality, and liability provisions in the excerpt, meaning the parties may rely on default legal rules or other sections of the full contract to address how the relationship can end, how sensitive information is protected, and what damages each side may be responsible for.",NOT FOUND,NOT FOUND,NOT FOUND
ZogenixInc_20190509_10-Q_EX-10.2_11663313_EX-10.2_Distributor Agreement,"This Distributorship Agreement lets Zogenix, the maker of the drug Fintepla®, appoint Nippon Shinyaku as its exclusive distributor in Japan for treating Dravet and Lennox‑Gastaut syndromes. Zogenix must manufacture and supply the product, while the Distributor must promote, market, sell, and handle the drug in the territory, following all regulatory requirements and using commercially reasonable efforts. Both parties must keep each other's confidential information private and comply with applicable laws, including anti‑bribery rules. The contract includes provisions for termination, limitation of liability, and indemnification, meaning either side could end the deal under certain conditions and may be liable only for direct damages, with indirect or punitive losses generally excluded. Breaches could trigger damages, loss of exclusivity, or other legal remedies.",NOT FOUND,NOT FOUND,NOT FOUND
ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement,"This Master Supply Agreement sets out the framework for Reynolds Consumer Products (the Seller) to sell, and Pactiv (the Buyer) to purchase, specified consumer‑goods products for resale. The parties may create detailed Purchase Schedules that define product types, quantities, prices, and delivery terms. Each party must comply with all applicable laws, maintain ethical standards, and provide warranties—Seller guarantees product condition, compliance, and title; Buyer must handle products properly. The agreement can be ended by written notice after the last Purchase Schedule expires or as otherwise provided, and many obligations (e.g., confidentiality, breach remedies) survive termination. Risks include potential breach of warranties, the need to provide adequate performance assurances, and the obligation to indemnify the other party for third‑party claims arising from product defects or negligence.","1. Term. The ""Term"" of this Agreement will commence on the Effective Date and will end on the earlier of: (a) the first anniversary of the expiration date of the last Purchase Schedule (as defined in this next Section); (b) a termination date elected by a Party in a written notice delivered to the other Party any time after the expiration of the last Purchase Schedule; or (c) a termination date elected by a Party in a written notice delivered to the other Party as provided in Subsection 11(d) of this Agreement. The rights and obligations of the Parties under this Agreement will survive the expiration or earlier termination of this Agreement with respect to any (i) products purchased and sold under this Agreement during the Term and products sold after the Term for orders accepted during the Term; (ii) Confidential Information (as defined in Section 10 of this Agreement) disclosed or received by a Party during the Term; (iii) breach of this Agreement by a Party; (iv) any other statement, decision, act or omission of a Party concerning or related to this Agreement; (v) any Dispute (as defined in Section 11 of this Agreement) between the Parties concerning or related to this Agreement; (vi) products and other materials manufactured or maintained by Seller in inventory for sale to Buyer that Buyer is obligated to purchase under a Purchase Schedule; and (vii) any provision that expressly states that it will survive the expiration or earlier termination of this Agreement.",NOT FOUND,NOT FOUND
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,"This endorsement updates an existing variable life insurance contract after Thrivent Life Insurance Company was dissolved and its assets transferred to Thrivent Financial for Lutherans. The purpose is to replace all references to the former company with the new society name and confirm that all rights, obligations, and benefits remain unchanged except for the listed amendments. Key obligations include the insurer’s duty to maintain solvency; if a solvency shortfall occurs, the policyholder must pay an extra amount within 60 days or have the amount charged to the contract with 5% annual interest. The policyholder may transfer ownership of the contract according to the society’s bylaws, but membership rights cannot be transferred. Risks for the policyholder involve potential extra payments and interest if the society’s solvency is impaired, while the insurer assumes responsibility for all contract obligations under its new name.",NOT FOUND,NOT FOUND,NOT FOUND
"Zounds Hearing, Inc. - MANUFACTURING DESIGN MARKETING AGREEMENT","This Manufacturing, Design and Marketing Agreement lets Subcontractor (Zounds Hearing) provide design, engineering, manufacturing and FDA‑registered facility space to Manufacturer (InnerScope) so the Manufacturer can produce hearing‑aid products under its own brand. Subcontractor receives a $1,000,000 technology access fee in two installments and is paid for each product’s manufacturing cost plus agreed royalties (80% of cost or $80 per unit for non‑rechargeable, 100% of cost or $100 per unit for rechargeable). The Manufacturer must place non‑cancellable purchase orders, pay the full product cost up front, and cover shipping, taxes and any third‑party royalties. Risks include the Manufacturer’s obligation to pay even if cost‑reduction benefits are not shared, the non‑cancellable nature of orders, and the Manufacturer’s sole responsibility for warranty and liability for any product defects.",NOT FOUND,NOT FOUND,NOT FOUND
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT,"This Transportation Service Agreement sets out a ten‑year deal (with month‑to‑month renewal afterward) where Arkansas Western Pipeline Company (the Transporter) moves natural gas for Associated Natural Gas Company (the Shipper). The Shipper must deliver gas at a specified receipt point and the Transporter must transport an “Equivalent Quantity” to the delivery point, not exceeding a maximum daily quantity of 23,000 dekatherms. The Shipper pays rates per the Transporter's FTS/ITS tariff, which can be changed with regulatory approval. Risks include capacity reductions that may proportionally cut the Shipper’s quota, and the need to give 60‑ or 180‑day written notice to end the contract. No confidentiality or liability limits are stated in the excerpt.","5.1 Subject to the General Terms and Conditions of Transporter's FERC Gas Tariff and Rate Schedule FTS/ITS, this Agreement shall be effective as of the date of physical completion of and initial deliveries on Transporter's pipeline and shall continue for a primary term of ten years. Thereafter, this Agreement shall be effective month to month, until terminated by Transporter or Shipper upon the following written notice to the other specifying a termination date: sixty (60) days for interruptible transportation under Rate Schedule ITS and 180 days for firm transportation under Rate Schedule FTS.",NOT FOUND,NOT FOUND
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement",FAILED,FAILED,FAILED,FAILED
RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement,"This Collaborative Research, Development and Commercialization Agreement, dated June 8, 2018, sets up a partnership between Revolution Medicines (RevMed) and Sanofi to discover, develop and potentially market drug candidates that inhibit the cancer target SHP2. RevMed contributes its expertise in cancer biology and its proprietary know‑how on SHP2 inhibitors, while Sanofi provides pharmaceutical development, regulatory, and commercial capabilities. The parties agree to share licenses, jointly manage research programs, and cooperate on manufacturing and marketing of any resulting products. Key obligations include RevMed granting Sanofi rights to use its licensed know‑how and Sanofi committing to commercially reasonable efforts to develop and sell the products. Notable risks involve regulatory compliance, potential change‑of‑control events that could affect ownership or control, and the need to protect confidential information, though specific confidentiality or liability provisions are not included in the excerpt.",NOT FOUND,NOT FOUND,NOT FOUND
VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT,"This Sponsorship Agreement, dated September 23, 1998, sets out a partnership between Excite, Inc. and Vitamin Shoppe Industries Inc. Excite agrees to promote the Client’s vitamin products as the preferred and dominant reseller on various sections of the Excite and WebCrawler sites, including health and shopping channels, by providing banner ads, links, and sponsorship placements. The Client must supply all graphics, text, keywords and URLs (the ""Impression Material"") at least 14 days before the scheduled launch date and cooperate in good‑faith to identify additional promotional opportunities. Risks include the Client’s failure to deliver materials on time, which could delay launch or cause Excite to use incomplete assets, and the fact that Excite’s performance estimates are not guaranteed, potentially limiting the expected exposure for the Client.",NOT FOUND,NOT FOUND,NOT FOUND
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,"This agreement is a non‑disclosure and non‑competition contract between a franchisee and an individual employee (the Member) who will have access to the franchisor’s proprietary system. The Member must keep all confidential information secret during and after the franchise term, and may only use it to run the franchised restaurant. The Member also agrees not to work for, own, or assist any competing pizza‑restaurant business during the franchise term and for two years after termination within a three‑mile radius of any franchised location. Violations trigger injunctive relief, with the Member responsible for the franchisor’s court costs and reasonable attorney fees, creating a significant financial risk for non‑compliance.",NOT FOUND,"1. Confidential Information. Member shall not, during the term of the Franchise Agreement or thereafter, communicate, divulge or use, for any purpose other than the operation of the Franchised Business, any confidential information, knowledge, trade secrets or know-how which may be communicated to Member or which Member may learn by virtue of Member's relationship with Franchisee. All information, knowledge and know-how relating to Franchisor, its business plans, Franchised Businesses, or the System (""Confidential Information"") is deemed confidential, except for information that Member can demonstrate came to Member's attention by lawful means prior to disclosure to Member; or which, at the time of the disclosure to Member, had become a part of the public domain.",NOT FOUND
GOLDRESOURCECORP_12_11_2008-EX-10.1-STRATEGIC ALLIANCE AGREEMENT,"This Strategic Alliance Agreement sets out a partnership between Gold Resource Corporation (GRC) and Hochschild Mining Holdings Ltd. (HOC). HOC receives an option to buy up to 4.33 million additional shares of GRC at $3.00 each, which must be exercised in writing before the option expires 80 days after closing. If exercised, GRC must allocate at least $5 million of the proceeds to exploration and $13 million to development, construction and working capital for the El Aguila project. HOC also has a right of first refusal to provide any extra equity financing before the mine begins production, on terms tied to the recent market price. HOC may buy GRC stock on the market or privately, but cannot own more than 40% of the outstanding shares for two years. Risks include missing the option deadline, forfeiting financing rights, and breaching the ownership cap, which could trigger loss of preferred rights or dilution.",NOT FOUND,NOT FOUND,NOT FOUND
PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement,"This Distributor Agreement lets PreCheck Health Services act as a non‑exclusive distributor for Co‑Diagnostics’ qPCR COVID‑19 test kits in Romania. The Principal must supply the products, keep the right to market directly, and can change product lists or prices unilaterally. The Distributor must obtain all licenses, promote the products, and avoid selling competing items, while paying its own staff and sub‑distributors. The contract runs until March 18, 2021 but can be ended by either side with 30 days’ written notice; upon termination the Distributor can fulfill any orders already accepted. Risks include the Principal’s ability to alter prices or drop products without consent and the Distributor’s obligation to comply with all applicable laws without any liability limitation.","10. This Agreement shall be in effect until March 18. 2021, unless sooner terminated by either party upon (30) days written notice, without cause. 11. In the event of termination, the Distributor shall be entitled to receive all orders accepted by the Principal prior to the date of termination and may sell the ordered Products in the Territory. Payment to be made upon shipment. 12. In the event of termination, neither party, their heirs nor successors shall issue any challenge whatsoever to contest the termination.",NOT FOUND,NOT FOUND
